event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
646,Aboriginal Day,21/06/2017,21/06/2017,Domestic,holiday,
647,Boxing Day,26/12/2017,26/12/2017,Domestic,holiday,
648,BUILDEX Vancouver,12/02/2017,13/02/2017,Vancouver,event,675218
649,Canada Day,01/07/2017,01/07/2017,Domestic,holiday,
650,Canada Day Celebrations,01/07/2017,01/07/2017,Vancouver,event,675218
651,Christmas Day,25/12/2017,25/12/2017,Domestic,holiday,
652,Civic Holiday,03/08/2017,03/08/2017,Domestic,holiday,
653,Easter Monday,13/04/2017,13/04/2017,Domestic,holiday,
654,Family Day,17/02/2017,17/02/2017,Domestic,holiday,
655,Father's Day,21/06/2017,21/06/2017,Domestic,holiday,
656,Good Friday,10/04/2017,10/04/2017,Domestic,holiday,
657,Heritage Day,17/02/2017,17/02/2017,Domestic,holiday,
658,Islander Day,17/02/2017,17/02/2017,Domestic,holiday,
659,Labour Day,07/09/2017,07/09/2017,Domestic,holiday,
660,Leap Day,29/02/2017,29/02/2017,Domestic,holiday,
661,Louis Riel Day,17/02/2017,17/02/2017,Domestic,holiday,
662,Mother's Day,10/05/2017,10/05/2017,Domestic,holiday,
663,New Year's Day,01/01/2017,01/01/2017,Domestic,holiday,
664,New Year's Eve,31/12/2017,31/12/2017,Vancouver,holiday,675218
665,Remembrance Day,11/11/2017,11/11/2017,Domestic,holiday,
666,Remembrance Day Parade and Service,11/11/2017,11/11/2017,Vancouver,event,675218
667,Sidelaunch Days,10/08/2017,11/08/2017,Domestic,holiday,
668,St. Jean Baptiste Day,24/06/2017,24/06/2017,Domestic,holiday,
669,St. Patrick's Day,17/03/2017,17/03/2017,Domestic,holiday,
670,Thanksgiving,12/10/2017,12/10/2017,Domestic,holiday,
671,Valentine's Day,14/02/2017,14/02/2017,Domestic,holiday,
672,Vancouver Fashion Week,30/03/2017,05/04/2017,Vancouver,event,675218
673,Vancouver Gem & Mineral Show,09/08/2017,09/08/2017,Vancouver,event,675218
674,Vancouver Gift Expo,15/03/2017,17/03/2017,Vancouver,event,675218
675,Vancouver International Travel Expo,19/09/2017,19/09/2017,Vancouver,event,675218
676,Victoria Day,18/05/2017,18/05/2017,Domestic,holiday,
677,BMO Vancouver Marathon,03/05/2017,03/05/2017,Vancouver,event,675218
678,Honda Celebration of Light,25/07/2017,25/07/2017,Vancouver,event,675218
679,Vancouver Cherry Blossom Festival,04/04/2017,28/04/2017,Vancouver,event,675218
680,Dine Out Vancouver Festival,17/01/2017,02/02/2017,Vancouver,event,675218
681,HSBC Canada Sevens,07/03/2017,08/03/2017,Vancouver,event,675218
